Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Ref1,Ref2,Label,Stage
844.8984375,76,7894.743652,2695.769287,5318.077148,1297.179443,515.0,7249.102539,5122.94873,6698.461426,1089.871826,6857.436035,6562.179688,1975.769165,6416.282227,6989.743652,2658.076904,6073.077148,fleece,articulators
844.90625,76,2843.076904,5764.871582,3137.820557,5474.358887,4091.923096,2528.974365,1812.94873,304.3589783,1166.282104,4586.922852,6529.230957,6529.487305,6368.333496,6163.717773,6656.538574,6594.230957,fleece,articulators
844.9140625,76,342.0512695,53.33332443,2112.564209,2895.384521,3388.205078,1152.564087,6391.666504,410.384613,2601.025635,3445.256348,2511.153809,3196.410156,5072.05127,3048.589844,606.666687,7134.871582,fleece,articulators
844.921875,76,69.23075867,1578.846191,1202.564087,3643.076904,1410.0,6291.153809,1116.794922,7635.128418,2835.0,7893.205078,5718.589844,502.3076782,2539.743652,407.6922913,7605.128418,728.2051392,fleece,articulators
844.9296875,76,2016.923096,1822.820557,182.5640869,5195.384766,4780.641113,5104.102539,1111.410278,6298.589844,246.0256348,5833.461426,2781.153809,5360.512695,1613.717896,2878.589844,275.6410217,3995.769287,fleece,articulators
844.9375,76,6652.307617,2823.846191,3403.974365,7362.436035,2781.538574,5882.05127,2836.794922,5523.333496,2819.230713,2330.0,6254.487305,8081.794922,8295.640625,1991.410278,3207.05127,28.07691383,fleece,articulators
844.9453125,76,5581.666504,714.8717651,4879.487305,4454.102539,6385.769043,7418.333496,2553.718018,7411.538574,683.9743652,5212.179688,6366.666504,6802.820313,6956.794922,3678.718018,6512.820313,2246.410156,fleece,articulators
844.953125,76,3101.153809,4688.461426,2755.512695,4562.05127,3361.923096,6620.641113,5706.282227,68.58973694,2595.897461,1938.717896,4256.025879,865.2564087,4409.871582,2577.05127,801.2820435,6135.384766,fleece,articulators
844.9609375,76,7412.563965,2172.820557,1622.05127,6806.025879,1941.666626,5254.871582,2897.307617,7901.282227,5547.436035,2125.897461,6996.922852,6313.589844,4784.487305,5283.974121,7566.538574,6925.641113,fleece,articulators
844.96875,76,6169.358887,1477.435913,542.6923218,3355.769287,8100.128418,5584.871582,6260.256348,2679.102539,4104.871582,2707.435791,3745.256348,3898.974365,3401.538574,6008.333496,1837.05127,7126.025879,fleece,articulators
844.9765625,76,3844.230713,7808.461426,2341.410156,3045.128174,6381.025879,5560.256348,2016.538452,6597.94873,1735.384644,3356.794922,7242.94873,4136.282227,7313.974609,4343.974121,1297.564087,8150.384766,fleece,articulators
844.984375,76,4470.512695,4569.871582,5592.05127,6425.769043,939.2307739,6528.846191,3367.435791,450.7692261,1130.769165,7262.179688,5808.205078,2849.102539,6677.94873,5030.384766,4190.128418,7540.769043,fleece,articulators
844.9921875,76,7170.897461,883.2051392,1073.717896,3987.05127,3459.615479,196.6666565,3636.923096,6598.589844,8390.640625,6657.307617,5502.307617,7786.025879,3595.0,4196.153809,574.7435913,3968.205078,fleece,articulators
855.0,77,7417.05127,7667.94873,389.8717957,6498.333496,3977.435791,5361.538574,751.5384521,1795.769165,8332.307617,4740.641113,5083.589844,2363.974365,157.5640869,1236.410278,1911.794922,296.9230652,k,articulators
